TGL,BARANG, QTY , HARGA (RP) , VAT (11%) ,DEBIT
10/1/2022,Bubble foil , 163 ," 285,000.00 ",," 46,455,000.00 "
,Strapping band 12/8 biru, 15 ," 87,000.00 ",," 2,610,000.00 "
,Strapping band 12/8 kuning, 3 ," 87,000.00 ",," 2,610,000.00 "
,Strapping band 12/8 hijau, 10 ," 87,000.00 ",," 2,610,000.00 "
,Strapping band 12/8 hitam, 2 ," 87,000.00 ",," 2,610,000.00 "
,Bubble foil , 30 ," 280,000.00 ",," 8,400,000.00 "
,Strapping band 15/7 kuning, 2 ," 82,000.00 ",," 164,000.00 "
10/3/2022,Strapping band 15/8 putih, 6 ," 84,000.00 ",," 1,627,500.00 "
,Strapping band 12/8 putih, 9 ,84000.000,," 1,627,500.00 "
,Strapping band 15/7 kuning, 5 ," 73,500.00 ",," 1,627,500.00 "
,Strapping band 15/7 kuning, 75 ," 73,500.00 ",," 5,512,500.00 "
,,,,," 5,512,500.00 "
10/4/2022,Pe tube dl 9cm x 2m, 510 ," 14,000.00 ",," 7,140,000.00 "
,Strapping band 12/8 kuning, 100 ," 84,000.00 ",," 13,143,750.00 "
,SF 17mic x 10 cm, 250 ," 18,975.00 ",," 13,143,750.00 "
,Strapping band 15/7 kuning, 1 ," 95,000.00 ",," 95,000.00 "
,Strapping band 15/7 hitam, 40 ," 71,750.00 ",," 2,870,000.00 "
,Strapping band 15/7 kuning, 5 ," 71,750.00 ",," 358,750.00 "
,Lakban clear 45mm x 80y, 288 ," 6,846.85 "," 216,908.108 "," 2,188,800.00 "
,Pe tube dl 9cm x 2m, 425 ," 14,090.91 "," 658,750.043 "," 6,647,386.79 "
,Lakban clear 45mm x 80y, 864 ," 6,500.00 "," 617,760.000 "," 12,987,000.00 "
,Lakban clear 48mm x 80y, 936 ," 6,500.00 "," 669,240.000 "," 12,987,000.00 "
10/5/2022,Strapping band 12/7 kuning, 150 ," 73,000.00 ",," 10,950,000.00 "
,Siku karet tipis, 25.07 ," 16,000.00 ",," 6,351,120.00 "
,Strapping band 15/8 kuning, 50 ," 84,000.00 ",," 6,351,120.00 "
,Gripper CH-06," 5,000 ", 350.00 ,," 6,351,120.00 "
,Bubble black 50 m, 8 ," 130,000.00 ",," 1,915,000.00 "
,Bubble clear 50 m, 7 ," 125,000.00 ",," 1,915,000.00 "
,Foam sheet 2mm x 200m, 1 ," 550,000.00 ",," 550,000.00 "
,Strapping band 15/7 kuning, 10 ," 75,000.00 ",," 750,000.00 "
,Strapping band 15/7 kuning, 15 ," 71,750.00 ",," 1,076,250.00 "
,Strapping band 15/7 kuning, 3 ," 85,000.00 ", - ," 255,000.00 "
,Strapping band 15/7 kuning, 17 ," 85,000.00 ", - ," 1,445,000.00 "
,Strapping band 15/7 kuning, 13 ," 85,000.00 ", - ," 1,105,000.00 "
,Strapping band 15/7 kuning, 2 ," 85,000.00 ", - ," 170,000.00 "
,Strapping band 12/8 kuning, 30 ," 84,000.00 "," 277,200.000 "," 2,797,200.00 "
,PET lokal 20 kg hijau, 30 ," 400,000.00 "," 1,320,000.000 "," 13,320,000.00 "
,Pe sheet 4cm x 1m x 1m, 40 ," 77,837.00 "," 342,482.800 "," 3,455,962.80 "
,Pe sheet 4cm x 1m x 1m, 30 ," 77,837.00 "," 256,862.100 "," 2,591,972.10 "
,Single face 150 cm," 1,483 "," 10,681.82 "," 1,742,525.297 "," 17,583,664.36 "
10/6/2022,"Pe Foam 0,5mm x 800m", 10 ," 600,000.00 ",," 8,400,000.00 "
,, 10 ," 120,000.00 ",," 8,400,000.00 "
,, 10 ," 120,000.00 ",," 8,400,000.00 "
,Strapping band 15/8 kuning, 200 ," 75,000.00 ",," 15,000,000.00 "
,Strapping band 15/7 kuning, 10 ," 95,000.00 ",," 15,700,000.00 "
,Styrofoam 2 cm, 5 ," 550,000.00 ",," 15,700,000.00 "
,Pe corner 18cm," 2,000 "," 6,000.00 ",," 15,700,000.00 "
,Strapping band 9/8 kuning, 15 ," 96,800.00 ",," 1,452,000.00 "
,Strapping band 12/8 hitam, 30 ," 81,800.00 ",," 2,454,000.00 "
,Strapping band 15/8 kuning, 19 ," 169,800.00 "," 354,882.000 "," 3,581,082.00 "
,Lakban tan 45mm x 80y," 1,440 "," 5,950.00 "," 942,480.000 "," 9,510,480.00 "
,Strapping band 15/8 biru, 20 ," 80,000.00 "," 176,000.000 "," 1,776,000.00 "
,Pe sheet 2cm x 1m x 2m, 310 ," 89,009.01 "," 3,035,207.207 "," 30,628,000.00 "
,SF 12mic x 50cm x 300m, 60 ," 72,072.07 "," 475,675.675 "," 4,800,000.00 "
10/7/2022,Strapping band 15/7 kuning, 150 ," 70,500.00 ",," 15,720,000.00 "
,Strapping band 15/7 merah, 25 ," 70,500.00 ",," 15,720,000.00 "
,Strapping band 15/7 hijau, 25 ," 70,500.00 ",," 15,720,000.00 "
,Strapping band 15/8 putih, 20 ," 81,000.00 ",," 15,720,000.00 "
,Strapping band 15/7 kuning, 200 ," 73,500.00 ",," 31,795,000.00 "
,Strapping band 9/8 kuning, 25 ," 88,000.00 ",," 31,795,000.00 "
,Lakban clear 48mm x 80y," 1,800 "," 7,650.00 ",," 31,795,000.00 "
,Pe sheet 1cm x 1m x 1m, 50 ," 22,500.00 ",," 31,795,000.00 "
,Strapping band 15/8 kuning, 50 ," 85,000.00 ",," 4,250,000.00 "
,Strapping band 12/8 kuning, 35 ," 85,000.00 ",," 2,975,000.00 "
,Strapping band 12/8 biru, 60 ," 84,600.00 ",," 5,076,000.00 "
,Strapping band 15/7 kuning, 38 ," 73,700.00 ",," 3,685,000.00 "
,Strapping band 12/7 kuning, 12 ," 73,700.00 ",," 3,685,000.00 "
,Lakban clear 48mm x 90y, 360 ," 9,020.00 "," 357,192.000 "," 3,604,392.00 "
,Strapping band 15/8 kuning EF, 100 ," 129,090.99 "," 1,420,000.901 "," 14,329,100.00 "
10/10/2022,Strapping band 12/7 kuning, 1 ," 95,000.00 ",," 95,000.00 "
,Strapping band 15/8 kuning, 30 ," 85,000.00 ",," 2,550,000.00 "
,Foam sheet 0.5mm x 800m, 3 ," 610,500.00 ",," 8,361,500.00 "
,Styrofoam 2 cm D 14, 5 ," 905,000.00 ",," 8,361,500.00 "
,Styrofoam 1 cm D 14, 1 ," 905,000.00 ",," 8,361,500.00 "
,Styrofoam 2 cm D low, 2 ," 550,000.00 ",," 8,361,500.00 "
,Strapping band 12/7 kuning, 5 ," 84,400.00 ",," 422,000.00 "
,Strapping band 15/8 kuning, 5 ," 86,000.00 ",," 430,000.00 "
,Masking tape 24mm, 288 ," 5,000.00 "," 158,400.000 "," 1,598,400.00 "
,Masking tape 24mm, 720 ," 5,000.00 "," 396,000.000 "," 3,996,000.00 "
,Bubble wrap clear 100m, 1 ," 216,216.22 "," 23,783.784 "," 240,000.00 "
,Stretch film 17mic x 200m, 24 ," 55,405.41 "," 146,270.270 "," 1,476,000.00 "
10/11/2022,Foam sheet 2mm x 300m, 100 ," 461,000.00 "," 5,071,000.000 "," 51,171,000.00 "
,Strapping band 15/8 kuning, 20 ," 95,000.00 ", - ," 1,900,000.00 "
10/12/2022,Strapping band 15/8 kuning, 1 ," 86,600.00 ",," 433,000.00 "
,Strapping band 15/8 hitam, 1 ," 86,600.00 ",," 433,000.00 "
,Strapping band 15/8 hijau, 1 ," 86,600.00 ",," 433,000.00 "
,Strapping band 15/8 merah, 1 ," 86,600.00 ",," 433,000.00 "
,Strapping band 15/8 putih, 1 ," 86,600.00 ",," 433,000.00 "
,Single face 120 cm, 117 ," 12,000.00 ",," 1,404,000.00 "
10/13/2022,Foam sheet 2mm x 200m, 1 ," 525,000.00 ",," 8,277,500.00 "
,Foam sheet 3mm x 150m, 1 ," 565,000.00 ",," 8,277,500.00 "
,Foam sheet 4mm x 50m, 10 ," 500,000.00 ",," 8,277,500.00 "
,Foam sheet 5mm x 50m, 7 ," 312,500.00 ",," 8,277,500.00 "
,Strapping band 12/7 kuning, 75 ," 73,000.00 ",," 5,475,000.00 "
,Strapping band 9/8 merah, 13 ," 85,000.00 ",," 1,700,000.00 "
,Strapping band 9/8 biru, 7 ," 85,000.00 ",," 1,700,000.00 "
,Strapping band 9/8 kuning, 10 ," 96,800.00 ",," 968,000.00 "
,Strapping band 12/8 biru, 10 ," 87,000.00 ",," 870,000.00 "
,Bubble wrap clear 100m, 5 ," 190,000.00 ",," 950,000.00 "
,Strapping band 15/8 kuning, 50 ," 83,500.00 ",," 4,175,000.00 "
,Strapping band 15/8 merah, 2 ," 90,000.00 ",," 180,000.00 "
,Lakban clear 48mm x 90y, 360 ," 9,100.00 ",," 3,859,200.00 "
,Lakban tan 48mm x 80y, 72 ," 8,100.00 ",," 3,859,200.00 "
,Pe sheet 4cm x 1m x 1m, 40 ," 77,837.00 ", - ," 3,513,480.00 "
,Pe sheet 2cm x 1m x 1m, 10 ," 40,000.00 ", - ," 3,513,480.00 "
10/14/2022,Strapping band 15/7 kuning, 30 ," 80,000.00 ",," 2,400,000.00 "
,Single face 160cm, 50 ," 12,000.00 ",," 600,000.00 "
,Strapping band 15/8 putih, 10 ," 88,000.00 ",," 880,000.00 "
,Strapping band 12/8 biru, 2 ," 88,000.00 ",," 176,000.00 "
,Strapping band 12/8 kuning, 50 ," 82,000.00 ",," 4,100,000.00 "
,Pet lokal 18kg hijau, 40 ," 351,000.00 ",," 14,040,000.00 "
,Strapping band 12/8 biru, 10 ," 91,500.00 ",," 915,000.00 "
,Strapping band 15/8 hitam, 3 ," 88,000.00 ",," 704,000.00 "
,Strapping band 15/8 kuning, 5 ," 88,000.00 ",," 704,000.00 "
,Strapping band 15/7 kuning, 5 ," 82,000.00 ",," 410,000.00 "
,Strapping band 9/8 kuning, 30 ," 80,000.00 "," 264,000.000 "," 4,440,000.00 "
,Strapping band 9/8 merah, 16 ," 80,000.00 "," 140,800.000 "," 4,440,000.00 "
,Strapping band 15/8 hijau, 2 ," 80,000.00 "," 17,600.000 "," 4,440,000.00 "
,Strapping band 15/8 biru, 1 ," 80,000.00 "," 8,800.000 "," 4,440,000.00 "
,Strapping band 15/8 merah, 1 ," 80,000.00 "," 8,800.000 "," 4,440,000.00 "
,Strapping band 15/7 kuning, 30 ," 85,000.00 "," 280,500.000 "," 5,394,600.00 "
,Stretch film 12 mic x 300 m, 30 ," 77,000.00 "," 254,100.000 "," 5,394,600.00 "
,Strapping band 15/8 putih PAP, 4 ," 115,000.00 "," 50,600.000 "," 10,319,181.60 "
,Lakban clear 48mm x 80y," 1,080 "," 8,182.00 "," 972,021.600 "," 10,319,181.60 "
,Foam sheet 2mm x 300m, 10 ," 700,540.54 "," 770,594.595 "," 7,776,000.00 "
,Lakban clear 48mm x 90y, 288 ," 9,020.00 "," 285,753.600 "," 3,604,392.00 "
,Lakban clear 48mm x 80y, 72 ," 9,020.00 "," 71,438.400 "," 3,604,392.00 "
10/15/2022,Strapping band 12/8 kuning, 15 ," 84,000.00 ",," 1,260,000.00 "
,Lakban tan 48mm x 80y, 360 ," 8,100.00 ",," 2,916,000.00 "
10/17/2022,Strapping band 15/7 kuning, 5 ," 75,000.00 ",," 987,000.00 "
,Lakban clear 45mm x 80y, 72 ," 8,500.00 ",," 987,000.00 "
10/18/2022,Strapping band 12/8 kuning, 10 ," 86,000.00 ",," 860,000.00 "
,Strapping band 12/8 biru, 5 ," 87,000.00 ",," 435,000.00 "
,Marking line yellow 48mm x 33m, 240 ," 65,765.77 "," 1,736,216.328 "," 18,741,001.13 "
,Alat packing SB, 2 ," 550,000.00 "," 121,000.000 "," 18,741,001.13 "
,Strapping band 12/8 kuning, 12 ," 85,000.00 "," 112,200.000 "," 1,132,200.00 "
,Pe tube dl 9cm x 2m, 476 ," 14,090.91 "," 737,800.048 "," 7,445,073.21 "
10/19/2022,"Foam sheet 0,5mm x 800m", 5 ," 635,000.00 ",," 15,100,000.00 "
,Foam sheet 1mm x 500 m, 15 ," 635,000.00 ",," 15,100,000.00 "
,Bubble wrap clear 100m, 10 ," 240,000.00 ",," 15,100,000.00 "
,PET lokal 20 kg hijau, 6 ," 450,000.00 ",," 2,700,000.00 "
,Strapping band 9/8 kuning, 5 ," 96,800.00 ",," 484,000.00 "
,Strapping band 15/7 kuning, 10 ," 73,200.00 ",," 732,000.00 "
,Foam sheet 2mm x 200m, 1 ," 600,000.00 ",," 600,000.00 "
,Servis & setting mesin SB, 1 ," 275,000.00 ",," 275,000.00 "
,Pe sheet 2cm x 1m x 1m, 5 ," 40,000.00 "," 22,000.000 "," 222,000.00 "
,Pe sheet 4cm x 1m x 1m, 30 ," 77,837.00 "," 256,862.100 "," 3,124,772.10 "
,Pe sheet 2cm x 1m x 1m, 12 ," 40,000.00 "," 52,800.000 "," 3,124,772.10 "
10/20/2022,Strapping band 12/7 kuning, 50 ," 73,000.00 ",," 3,650,000.00 "
,Strapping band 12/7 kuning, 190 ," 73,000.00 ",," 16,060,000.00 "
,Strapping band 12/7 merah, 30 ," 73,000.00 ",," 16,060,000.00 "
,Strapping band 12/8 kuning PAP, 30 ," 105,000.00 ",," 5,381,250.00 "
,Strapping band 12/10 kuning PAP, 17 ," 131,250.00 ",," 5,381,250.00 "
10/21/2022,Strapping band 15/8 putih, 3 ," 84,000.00 ",," 2,402,400.00 "
,Strapping band 15/8 kuning, 10 ," 84,000.00 ",," 2,402,400.00 "
,Lakban clear 48mm x 90y, 144 ," 9,100.00 ",," 2,402,400.00 "
